hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,market_segment,distribution_channel,is_repeated_guest,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,customer_type,reservation_status,reservation_status_date
Resort Hotel,1,7.90E+01,2015,July,27,3,6,15,2.00E+00,1,0,PRT,Offline TA/TO,TA/TO,0,0,A,0,No Deposit,Transient,Canceled,4/15/2015
Resort Hotel,0,1.20E+01,2015,July,27,3,0,1,2.00E+00,0,0,GBR,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/4/2015
Resort Hotel,0,9.00E+00,2015,July,27,3,0,1,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/4/2015
Resort Hotel,0,1.00E+00,2015,July,27,3,0,1,2.00E+00,0,0,ESP,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/4/2015
Resort Hotel,0,2.10E+01,2015,July,27,3,0,1,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,E,0,No Deposit,Transient,Check-Out,7/4/2015
Resort Hotel,0,9.00E+00,2015,July,27,3,0,1,2.00E+00,0,0,USA,Online TA,TA/TO,0,0,C,0,No Deposit,Transient,Check-Out,7/4/2015
Resort Hotel,0,1.09E+02,2015,July,27,3,0,1,2.00E+00,0,0,BEL,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/4/2015
Resort Hotel,1,1.09E+02,2015,July,27,3,0,2,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Canceled,5/26/2015
Resort Hotel,1,7.20E+01,2015,July,27,3,0,2,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Canceled,6/29/2015
Resort Hotel,1,6.30E+01,2015,July,27,3,2,5,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,F,0,No Deposit,Transient,Canceled,5/13/2015
Resort Hotel,0,6.30E+01,2015,July,27,3,2,5,3.00E+00,0,0,ESP,Offline TA/TO,TA/TO,0,0,E,0,No Deposit,Transient,Check-Out,7/10/2015
Resort Hotel,0,1.01E+02,2015,July,27,3,2,5,2.00E+00,1,0,PRT,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Check-Out,7/10/2015
Resort Hotel,0,1.02E+02,2015,July,27,3,2,5,2.00E+00,0,0,DEU,Direct,Direct,0,0,E,0,No Deposit,Transient,Check-Out,7/10/2015
Resort Hotel,0,4.00E+00,2015,July,27,4,2,1,2.00E+00,0,0,ESP,Direct,Direct,0,0,A,0,No Deposit,Transient,Check-Out,7/7/2015
Resort Hotel,0,9.80E+01,2015,July,27,4,2,1,2.00E+00,0,0,FRA,Offline TA/TO,TA/TO,0,0,D,0,No Deposit,Transient,Check-Out,7/7/2015
Resort Hotel,0,9.20E+01,2015,July,27,4,2,4,1.00E+00,2,0,FRA,Offline TA/TO,TA/TO,0,0,F,0,No Deposit,Transient,Check-Out,7/10/2015
Resort Hotel,0,9.50E+01,2015,July,27,4,2,4,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/10/2015
Resort Hotel,0,1.02E+02,2015,July,27,4,2,5,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,E,0,No Deposit,Transient,Check-Out,7/11/2015
Resort Hotel,1,2.60E+01,2015,July,27,4,2,5,2.00E+00,2,0,PRT,Online TA,TA/TO,0,0,H,0,No Deposit,Transient,Canceled,6/9/2015
Resort Hotel,1,7.30E+01,2015,July,27,4,2,5,3.00E+00,0,0,PRT,Direct,Direct,0,0,D,0,No Deposit,Transient,Canceled,5/20/2015
Resort Hotel,1,1.02E+02,2015,July,27,4,2,5,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Canceled,4/22/2015
Resort Hotel,0,1.15E+02,2015,July,27,4,2,5,2.00E+00,0,0,PRT,Offline TA/TO,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/11/2015
Resort Hotel,0,1.02E+02,2015,July,27,4,2,5,2.00E+00,0,1,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/11/2015
Resort Hotel,0,8.60E+01,2015,July,27,4,2,5,2.00E+00,0,0,CHE,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Check-Out,7/11/2015
Resort Hotel,0,7.80E+01,2015,July,27,4,2,5,2.00E+00,0,1,PRT,Online TA,TA/TO,0,0,E,0,No Deposit,Transient,Check-Out,7/11/2015
Resort Hotel,0,5.20E+01,2015,July,27,4,2,5,2.00E+00,0,0,GBR,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/11/2015
Resort Hotel,0,2.90E+01,2015,July,27,4,2,6,3.00E+00,0,0,PRT,Online TA,TA/TO,0,0,E,0,No Deposit,Transient,Check-Out,7/12/2015
Resort Hotel,1,1.01E+02,2015,July,27,4,2,6,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,E,0,No Deposit,Transient,Canceled,5/12/2015
Resort Hotel,0,1.09E+02,2015,July,27,4,2,6,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/12/2015
Resort Hotel,0,9.20E+01,2015,July,27,4,4,6,2.00E+00,0,0,GBR,Offline TA/TO,TA/TO,0,0,D,0,No Deposit,Contract,Check-Out,7/14/2015
Resort Hotel,0,9.20E+01,2015,July,27,4,4,6,2.00E+00,0,0,PRT,Offline TA/TO,TA/TO,0,0,D,0,No Deposit,Contract,Check-Out,7/14/2015
Resort Hotel,0,7.90E+01,2015,July,27,4,4,6,2.00E+00,1,0,PRT,Direct,Direct,0,0,D,1,No Deposit,Transient,Check-Out,7/14/2015
Resort Hotel,0,2.00E+00,2015,July,27,4,0,1,2.00E+00,2,0,PRT,Online TA,TA/TO,0,0,H,1,No Deposit,Transient,Check-Out,7/5/2015
Resort Hotel,0,3.00E+01,2015,July,27,4,0,1,2.00E+00,0,0,PRT,Offline TA/TO,TA/TO,0,0,D,0,No Deposit,Contract,Check-Out,7/5/2015
Resort Hotel,1,5.10E+01,2015,July,27,4,0,1,1.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Canceled,5/29/2015
Resort Hotel,1,3.60E+01,2015,July,27,4,0,1,1.00E+00,0,0,PRT,Direct,Direct,0,0,E,1,No Deposit,Transient,No-Show,7/4/2015
Resort Hotel,1,7.30E+01,2015,July,27,4,0,1,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Canceled,5/13/2015
Resort Hotel,1,3.30E+01,2015,July,27,4,0,1,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Canceled,6/16/2015
Resort Hotel,0,3.20E+01,2015,July,27,4,0,1,4.00E+00,0,0,PRT,Complementary,Direct,0,0,H,2,No Deposit,Transient,Check-Out,7/5/2015
Resort Hotel,0,8.00E+00,2015,July,27,4,0,1,2.00E+00,0,0,ESP,Online TA,TA/TO,0,0,E,0,No Deposit,Transient,Check-Out,7/5/2015
Resort Hotel,0,1.00E+02,2015,July,27,4,1,1,2.00E+00,0,0,FRA,Online TA,TA/TO,0,0,A,0,No Deposit,Transient-Party,Check-Out,7/6/2015
Resort Hotel,0,1.00E+00,2015,July,27,4,1,1,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/6/2015
Resort Hotel,0,1.00E+02,2015,July,27,4,1,1,2.00E+00,0,0,FRA,Online TA,TA/TO,0,0,A,0,No Deposit,Transient-Party,Check-Out,7/6/2015
Resort Hotel,0,1.00E+02,2015,July,27,4,1,1,2.00E+00,0,0,FRA,Online TA,TA/TO,0,0,A,0,No Deposit,Transient-Party,Check-Out,7/6/2015
Resort Hotel,0,9.00E+00,2015,July,28,5,1,0,2.00E+00,0,0,ESP,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/6/2015
Resort Hotel,1,5.00E+00,2015,July,28,5,1,0,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Canceled,7/1/2015
Resort Hotel,0,0.00E+00,2015,July,28,5,1,0,2.00E+00,0,0,ESP,Online TA,TA/TO,0,0,A,1,No Deposit,Transient,Check-Out,7/6/2015
Resort Hotel,0,9.00E+00,2015,July,28,5,1,0,1.00E+00,0,0,DEU,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/6/2015
Resort Hotel,0,2.00E+00,2015,July,28,5,1,0,1.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/6/2015
Resort Hotel,0,2.00E+00,2015,July,28,5,1,0,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/6/2015
Resort Hotel,0,9.00E+00,2015,July,28,5,1,0,1.00E+00,0,0,DEU,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/6/2015
Resort Hotel,1,5.00E+00,2015,July,28,5,1,0,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Canceled,7/1/2015
Resort Hotel,0,2.00E+00,2015,July,28,5,1,0,2.00E+00,0,0,PRT,Direct,Direct,0,0,G,0,No Deposit,Transient,Check-Out,7/6/2015
Resort Hotel,0,4.40E+01,2015,July,28,5,2,0,3.00E+00,0,0,PRT,Online TA,TA/TO,0,0,G,3,No Deposit,Transient,Check-Out,7/7/2015
Resort Hotel,0,8.00E+01,2015,July,28,5,2,0,2.00E+00,0,0,FRA,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Check-Out,7/7/2015
Resort Hotel,0,9.70E+01,2015,July,28,5,2,2,2.00E+00,0,0,ESP,Online TA,TA/TO,0,0,D,0,No Deposit,Transient,Check-Out,7/9/2015
Resort Hotel,0,1.09E+02,2015,July,28,5,2,3,2.00E+00,1,0,CN,Offline TA/TO,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/10/2015
Resort Hotel,0,3.00E+01,2015,July,28,5,2,3,2.00E+00,0,0,ESP,Online TA,TA/TO,0,0,E,0,No Deposit,Transient,Check-Out,7/10/2015
Resort Hotel,0,6.40E+01,2015,July,28,5,2,3,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,E,0,No Deposit,Transient,Check-Out,7/10/2015
Resort Hotel,0,3.90E+01,2015,July,28,5,2,4,2.00E+00,0,0,ESP,Online TA,TA/TO,0,0,H,0,No Deposit,Transient,Check-Out,7/11/2015
Resort Hotel,0,9.00E+01,2015,July,28,5,2,4,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Check-Out,7/11/2015
Resort Hotel,1,3.40E+01,2015,July,28,5,2,4,2.00E+00,2,0,PRT,Online TA,TA/TO,0,0,H,0,No Deposit,Transient,Canceled,6/17/2015
Resort Hotel,1,9.30E+01,2015,July,28,5,2,5,2.00E+00,0,0,PRT,Offline TA/TO,TA/TO,0,0,D,0,No Deposit,Transient,Canceled,5/1/2015
Resort Hotel,0,9.70E+01,2015,July,28,5,2,5,2.00E+00,2,0,PRT,Direct,Direct,0,0,C,1,No Deposit,Transient,Check-Out,7/12/2015
Resort Hotel,0,2.90E+01,2015,July,28,5,2,5,2.00E+00,0,0,IRL,Online TA,TA/TO,0,0,F,0,No Deposit,Transient,Check-Out,7/12/2015
Resort Hotel,1,1.01E+02,2015,July,28,5,2,5,2.00E+00,0,0,PRT,Online TA,TA/TO,0,0,A,0,No Deposit,Transient,Canceled,3/30/2015
Resort Hotel,0,2.70E+01,2015,July,28,5,2,5,2.00E+00,0,0,ESP,Offline TA/TO,TA/TO,0,0,E,0,No Deposit,Transient,Check-Out,7/12/2015
Resort Hotel,0,8.00E+00,2015,July,28,5,4,5,2.00E+00,2,0,CHE,Online TA,TA/TO,0,0,H,1,No Deposit,Transient,Check-Out,7/14/2015
Resort Hotel,0,8.20E+01,2015,July,28,5,4,6,2.00E+00,0,0,PRT,Offline TA/TO,TA/TO,0,0,D,0,No Deposit,Transient,Check-Out,7/15/2015
